date,word,niche_count,mainstream_count
2026-06-24,hard pass,0,0
2026-06-24,hawkshaw,0,0
2026-06-24,hoosegow,0,0
2026-06-24,htn,0,0
2026-06-24,humbuggery,0,0
2026-06-24,huzz,0,0
2026-06-24,innit,0,0
2026-06-24,knackered,0,0
2026-06-24,lit,0,0
2026-06-24,lowkenuinely,0,0
2026-06-24,mandem,0,0
2026-06-24,mewing,0,0
2026-06-24,mogging,0,0
2026-06-24,mooncalf,0,0
2026-06-24,nanty narking,0,0
2026-06-24,peng,0,0
2026-06-24,phat,0,0
2026-06-24,quid,0,0
2026-06-24,ragebait,0,0
2026-06-24,rapscallion,0,0
2026-06-24,rich in life,0,0
2026-06-24,rizz,0,0
2026-06-24,salty,0,0
2026-06-24,serving,0,0
2026-06-24,shackbaggerly,0,0
2026-06-24,side-eye,0,0
2026-06-24,sigma,0,0
2026-06-24,situationship,0,0
2026-06-24,skibidi,0,0
2026-06-24,skilamalink,0,0
2026-06-24,slang,0,0
2026-06-24,sus,0,0
2026-06-24,taradiddle,0,0
2026-06-24,the ick,0,0
2026-06-24,touch grass,0,0
2026-06-24,uglyography,0,0
2026-06-24,unc,0,0
2026-06-24,wagwan,0,0
2026-06-24,wisenheimer,0,0
2026-06-24,zang,0,0
2026-06-24,zounds,0,0
2026-06-25,404 coded,0,0
2026-06-25,6-7,0,0
2026-06-25,absquatulate,0,0
2026-06-25,afternoonified,0,0
2026-06-25,algo-speak,0,0
2026-06-25,ate,0,0
2026-06-25,aura,0,0
2026-06-25,aura farming,0,0
2026-06-25,based,0,0
2026-06-25,bed rotting,0,0
2026-06-25,bee's knees,0,0
2026-06-25,beige flag,0,0
2026-06-25,blotto,0,0
2026-06-25,bop,0,0
2026-06-25,brainrot,0,0
2026-06-25,cap,0,0
2026-06-25,cattywampus,0,0
2026-06-25,caught in 4k,0,0
2026-06-25,choppelganger,0,0
2026-06-25,cooked,0,0
2026-06-25,crash out,0,0
2026-06-25,dandy,0,0
2026-06-25,dead soldier,0,0
2026-06-25,delulu,0,0
2026-06-25,drip,0,0
2026-06-25,dropping lore,0,0
2026-06-25,duck soup,0,0
2026-06-25,ends,0,0
2026-06-25,fanum tax,0,0
2026-06-25,flapper,0,0
2026-06-25,flummadiddle,0,0
2026-06-25,gassed,0,0
2026-06-25,ghosting,0,0
2026-06-25,giggle water,0,0
2026-06-25,gigglemug,0,0
2026-06-25,glad rags,0,0
2026-06-25,glazing,0,0
2026-06-25,got the morbs,0,0
2026-06-25,groovy,0,0
2026-06-25,gyatt,0,0
2026-06-25,hard pass,0,0
2026-06-25,hawkshaw,0,0
2026-06-25,hoosegow,0,0
2026-06-25,htn,0,0
2026-06-25,humbuggery,0,0
2026-06-25,huzz,0,0
2026-06-25,innit,0,0
2026-06-25,knackered,0,0
2026-06-25,lit,0,0
2026-06-25,lowkenuinely,0,0
2026-06-25,mandem,0,0
2026-06-25,mewing,0,0
2026-06-25,mogging,0,0
2026-06-25,mooncalf,0,0
2026-06-25,nanty narking,0,0
2026-06-25,peng,0,0
2026-06-25,phat,0,0
2026-06-25,quid,0,0
2026-06-25,ragebait,0,0
2026-06-25,rapscallion,0,0
2026-06-25,rich in life,0,0
2026-06-25,rizz,0,0
2026-06-25,salty,0,0
2026-06-25,serving,0,0
2026-06-25,shackbaggerly,0,0
2026-06-25,side-eye,0,0
2026-06-25,sigma,0,0
2026-06-25,situationship,0,0
2026-06-25,skibidi,0,0
2026-06-25,skilamalink,0,0
2026-06-25,slang,0,0
2026-06-25,sus,0,0
2026-06-25,taradiddle,0,0
2026-06-25,the ick,0,0
2026-06-25,touch grass,0,0
2026-06-25,uglyography,0,0
2026-06-25,unc,0,0
2026-06-25,wagwan,0,0
2026-06-25,wisenheimer,0,0
2026-06-25,zang,0,0
2026-06-25,zounds,0,0
2026-06-26,404 coded,0,0
2026-06-26,6-7,0,0
2026-06-26,absquatulate,0,0
2026-06-26,afternoonified,0,0
2026-06-26,algo-speak,0,0
2026-06-26,ate,0,0
2026-06-26,aura,0,0
2026-06-26,aura farming,0,0
2026-06-26,based,0,0
2026-06-26,bed rotting,0,0
2026-06-26,bee's knees,0,0
2026-06-26,beige flag,0,0
2026-06-26,blotto,0,0
2026-06-26,bop,0,0
2026-06-26,brainrot,0,0
2026-06-26,cap,0,0
2026-06-26,cattywampus,0,0
2026-06-26,caught in 4k,0,0
